20160501 183600;0.785090;0.785110;0.785060;0.785060;0
20160501 183700;0.785060;0.785140;0.785010;0.785100;0
20160501 183800;0.785090;0.785130;0.785050;0.785100;0
20160501 183900;0.785090;0.785090;0.785030;0.785070;0
20160501 184000;0.785060;0.785160;0.785050;0.785160;0
20160501 184100;0.785150;0.785240;0.785050;0.785190;0
20160501 184200;0.785190;0.785200;0.785140;0.785170;0
20160501 184300;0.785170;0.785190;0.785060;0.785060;0
20160501 184400;0.785060;0.785080;0.785060;0.785060;0
20160501 184500;0.785060;0.785110;0.785030;0.785070;0
20160501 184600;0.785060;0.785090;0.785000;0.785050;0
20160501 184700;0.785040;0.785120;0.784970;0.785010;0
20160501 184800;0.785020;0.785050;0.784990;0.784990;0
20160501 184900;0.784970;0.785040;0.784960;0.785030;0
20160501 185000;0.785030;0.785070;0.785010;0.785020;0
20160501 185100;0.785010;0.785060;0.785010;0.785050;0
20160501 185200;0.785040;0.785060;0.785010;0.785040;0
20160501 185300;0.785040;0.785050;0.784960;0.785020;0
20160501 185400;0.785010;0.785060;0.785010;0.785020;0
20160501 185500;0.785000;0.785010;0.784970;0.784980;0
20160501 185600;0.784970;0.784980;0.784920;0.784920;0
20160501 185700;0.784910;0.784920;0.784900;0.784920;0
20160501 185800;0.784920;0.784950;0.784890;0.784920;0
20160501 185900;0.784940;0.784990;0.784940;0.784990;0
20160501 190000;0.784990;0.784990;0.784880;0.784890;0
20160501 190100;0.784890;0.784980;0.784890;0.784970;0
20160501 190200;0.784960;0.784970;0.784950;0.784950;0
20160501 190300;0.784940;0.784990;0.784940;0.784950;0
20160501 190400;0.784950;0.784980;0.784920;0.784920;0
20160501 190500;0.784890;0.784920;0.784820;0.784840;0
20160501 190600;0.784850;0.784940;0.784840;0.784920;0
20160501 190700;0.784930;0.784990;0.784930;0.784980;0
20160501 190800;0.784980;0.785040;0.784980;0.785000;0
20160501 190900;0.785000;0.785080;0.784950;0.785080;0
20160501 191000;0.785080;0.785080;0.784840;0.784840;0
20160501 191100;0.784860;0.784880;0.784840;0.784880;0
20160501 191200;0.784870;0.784870;0.784780;0.784830;0
20160501 191300;0.784840;0.785060;0.784830;0.784990;0
20160501 191400;0.784990;0.784990;0.784790;0.784810;0
20160501 191500;0.784810;0.784920;0.784790;0.784830;0
